City,lat,lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
Murdochville,48.9583,-65.5006,-18.17,96,100,2.29,CA,1644058809
Martapura,-3.4167,114.85,25.31,89,99,1.28,ID,1644058811
Shūshtar,32.0455,48.8567,17.96,30,0,5.22,IR,1644058581
Tasiilaq,65.6145,-37.6368,-7.31,67,100,10.01,GL,1644058344
Magistral'nyy,56.1725,107.4458,-11.0,95,100,3.01,RU,1644058811
Karratha,-20.7377,116.8463,30.35,68,66,6.01,AU,1644058359
Ürümqi,43.801,87.6005,-14.47,78,40,1.0,CN,1644058812
Buseresere,-3.0236,31.8747,19.77,83,100,1.83,TZ,1644058811
Drovyanaya,51.5833,113.0333,-18.12,97,37,1.28,RU,1644058813
Kaiu,59.0129,25.0551,0.64,99,100,3.46,EE,1644058813
Gazli,40.1333,63.45,18.21,16,52,9.96,UZ,1644058814
Emerald,-23.5333,148.1667,28.08,32,100,5.14,AU,1644058611
Kudahuvadhoo,2.6708,72.8944,28.03,71,2,6.09,MV,1644058577
Zhangjiakou,40.81,114.8794,-7.34,53,4,3.78,CN,1644058814
Tambovka,50.0969,128.0489,-18.17,99,99,1.83,RU,1644058814
Berlevåg,70.8578,29.0864,-5.9,83,100,9.39,NO,1644058814
Cananea,30.95,-110.3,-1.25,46,1,4.36,MX,1644058520
Tuatapere,-46.1333,167.6833,7.52,84,10,0.63,NZ,1644058815
Meybod,32.2501,54.0166,19.01,20,42,13.41,IR,1644058524
Hasaki,35.7333,140.8333,2.22,43,99,8.25,JP,1644058815
Bambous Virieux,-20.3428,57.7575,29.14,74,75,9.26,MU,1644058339
Saint Anthony,45.0205,-93.218,-16.73,76,100,1.79,US,1644058816
Cambará,-23.0464,-50.0736,22.3,95,100,0.91,BR,1644058816
Mokhsogollokh,61.4681,128.9203,-30.18,100,97,1.24,RU,1644058816
Port Moresby,-9.4431,147.1797,25.5,88,100,3.19,PG,1644058817
Cherskiy,68.75,161.3,-35.64,97,12,1.18,RU,1644058338
Hobart,-42.8794,147.3294,15.92,83,75,0.45,AU,1644058031
Oranjemund,-28.55,16.4333,22.8,64,35,5.07,NA,1644058817
Almansa,38.8692,-1.0971,13.14,84,100,1.05,ES,1644058818
Lodja,-3.4833,23.4333,34.75,36,21,0.86,CD,1644058818
Eyl,7.9803,49.8164,28.44,45,4,7.78,SO,1644058640
Tual,-5.6667,132.75,28.69,77,98,5.17,ID,1644058818
Champerico,14.3,-91.9167,24.6,71,0,1.44,GT,1644058819
Faanui,-16.4833,-151.75,27.27,73,42,7.29,PF,1644058354
Shache,38.4167,77.2406,-1.83,30,82,3.14,CN,1644058820
Sept-Îles,50.2001,-66.3821,-17.75,64,100,2.24,CA,1644058820
Rocha,-34.4833,-54.3333,20.5,85,100,1.6,UY,1644058821
Saskylakh,71.9167,114.0833,-29.96,100,92,1.85,RU,1644058251
Wukari,7.85,9.7833,32.67,10,3,5.38,NG,1644058822
Russas,-4.9403,-37.9758,27.96,66,38,4.13,BR,1644058822
Fomboni,-12.28,43.7425,28.11,75,24,9.59,KM,1644058822
Gunnedah,-30.9833,150.25,16.79,63,81,6.59,AU,1644058696
Mount Isa,-20.7333,139.5,28.87,24,3,2.57,AU,1644058806
Puerto Colombia,10.9878,-74.9547,25.05,80,6,8.94,CO,1644058549
Balabac,7.9868,117.0645,26.49,83,100,10.23,PH,1644058824
Henties Bay,-22.116,14.2845,22.7,69,29,3.93,NA,1644058824
Burnie,-41.0667,145.9167,16.64,72,98,3.15,AU,1644058749
Porto Seguro,-16.4497,-39.0647,24.29,94,75,1.54,BR,1644058545
Mercedes,-34.6515,-59.4307,18.24,94,62,5.97,AR,1644058825
Bonavista,48.6499,-53.1147,0.62,96,100,7.59,CA,1644058362
